area_conhecimento;sub_area;cod_preferencia
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;120845
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121087
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121535
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120301
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121642
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;119091
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118524
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119411
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;119066
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118668
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121237
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120539
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118274
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;119447
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;121085
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121149
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;ARTES  CIÊNCIAS SOCIAIS E CURSOS RELACIONADOS;119127
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118575
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;120413
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118463
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;118786
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118100
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;121161
CURSOS NAO PRIORITARIOS;FÍSICA (BEL)  QUÍMICA (BEL)  MATEMÁTICA (BEL)  GEOGRAFIA (BEL) E CURSOS RELACIONADOS;120892
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118452
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122242
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO  DESIGN  AUDIO VISUAL E CURSOS RELACIONADOS;122225
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120308
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120577
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;121145
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;119417
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119025
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;120600
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;120851
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;122238
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119141
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118724
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121606
CURSOS NAO PRIORITARIOS;HOTELARIA E TURISMO  GASTRONOMIA E CURSOS RELACIONADOS;118590
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;118534
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120306
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;119215
CURSOS NAO PRIORITARIOS;HOTELARIA E TURISMO  GASTRONOMIA E CURSOS RELACIONADOS;118740
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;120956
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;119551
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120920
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;120916
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;121572
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;120786
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121726
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;120505
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;117937
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;118116
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;120322
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121992
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;120245
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;120610
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;122012
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;BIOLOGIA (LIC)  MATEMÁTICA (LIC)  LETRAS-PORTUGUÊS E CURSOS RELACIONADOS;120960
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;120395
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121155
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118902
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121644
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;119004
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;118302
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120300
CURSOS DA AREA DE SAUDE;MEDICINA;121411
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120303
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;121822
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120780
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;120804
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;118178
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118773
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121210
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;119887
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;118465
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;121574
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;ARTES  CIÊNCIAS SOCIAIS E CURSOS RELACIONADOS;118757
CURSOS NAO PRIORITARIOS;AGRONOMIA  ZOOTECNIA  ENGENHARIA FLORESTAL E CURSOS RELACIONADOS;121613
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;118442
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA QUÍMICA  DE ALIMENTOS  DE PETRÓLEO E CURSOS RELACIONADOS;120070
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121205
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121757
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;122221
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121103
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;ARTES  CIÊNCIAS SOCIAIS E CURSOS RELACIONADOS;120954
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;121081
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118637
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120579
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;119758
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;120556
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;119100
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118184
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121647
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121265
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118326
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;122209
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120239
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118202
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119657
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;119159
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118191
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120238
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;ARTES  CIÊNCIAS SOCIAIS E CURSOS RELACIONADOS;120953
CURSOS NAO PRIORITARIOS;DANÇA  TEOLOGIA  MÍDIAS SOCIAIS  DESIGN DE INTERIORES E CURSOS RELACIONADOS;120982
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120547
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119905
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118697
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;121720
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119483
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;119772
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;118588
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120671
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;118356
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121043
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;119533
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;122211
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118475
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;121821
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;118654
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;120928
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;119403
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;120392
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;120853
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120363
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120642
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120194
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO  DESIGN  AUDIO VISUAL E CURSOS RELACIONADOS;121195
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120359
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121039
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118088
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;122050
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;121126
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;118857
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;121326
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118407
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120533
CURSOS NAO PRIORITARIOS;HOTELARIA E TURISMO  GASTRONOMIA E CURSOS RELACIONADOS;121014
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118258
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;122222
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;120933
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118680
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;119482
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;119966
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;121595
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;119747
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;120171
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121318
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;121387
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;117951
CURSOS DA AREA DE SAUDE;MEDICINA;120843
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;120616
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;119878
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118438
CURSOS DA AREA DE SAUDE;MEDICINA;121957
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;119405
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119689
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121989
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;118568
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;119389
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118417
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118532
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;122145
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118487
CURSOS NAO PRIORITARIOS;MODA  DESENHO INDUSTRIAL  MUSEOLOGIA  CINEMA E CURSOS RELACIONADOS;120970
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;121268
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121088
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120769
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;120311
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121534
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;118075
